# JD RVobs eRVobs RVsetID
2455342.947836  17.15  2.51 1
2455344.061419   2.23  2.74 1
2455351.037415  -7.89  2.36 1
2455352.011289  -4.61  2.21 1
2455367.083543 -25.45  2.49 1
2455376.930532  17.39  2.61 1
2.4567836095309998e+06  2.3538760000000002e+03  1.2880000000000001e+01 2
2.4567836302840002e+06  2.3481360000000000e+03  1.0000000000000000e+01 2
2.4567986378310001e+06  2.3388779999999997e+03  8.4199999999999999e+00 2
2.4567986605630000e+06  2.3563469999999998e+03  8.2299999999999986e+00 2
2.4568016502879998e+06  2.3448319999999999e+03  9.2500000000000000e+00 2
2.4568016695480002e+06  2.3330369999999998e+03  1.0260000000000000e+01 2
2.4568135395979998e+06  2.3400370000000003e+03  7.3799999999999999e+00 2
2.4568135618790002e+06  2.3356469999999999e+03  7.3300000000000001e+00 2
2.4568155451010000e+06  2.3317080000000001e+03  9.4000000000000004e+00 2
2.4568155672660000e+06  2.3340190000000002e+03  8.5199999999999996e+00 2
2.4568295371220000e+06  2.3373710000000001e+03  1.0279999999999999e+01 2
2.4568295586850001e+06  2.3260839999999998e+03  1.0580000000000000e+01 2
2.4568315808669999e+06  2.3253770000000000e+03  9.5600000000000005e+00 2
2.4568316022560000e+06  2.3362139999999999e+03  1.1000000000000000e+01 2
2.4568345022410001e+06  2.3115709999999999e+03  1.5000000000000000e+01 2
2.4568456751540001e+06  2.3197350000000001e+03  1.0480000000000000e+01 2
2.4568456962069999e+06  2.3154989999999998e+03  1.0850000000000000e+01 2
2.4568484483929998e+06  2.3425150000000003e+03  1.5549999999999999e+01 2
2.4568484698970001e+06  2.3181399999999999e+03  1.6260000000000002e+01 2
2.4568514543920001e+06  2.3451410000000001e+03  9.3300000000000001e+00 2
2.4568514753760002e+06  2.3262420000000002e+03  9.3699999999999992e+00 2
2.4568534566670000e+06  2.3236419999999998e+03  1.6359999999999999e+01 2
2.4568534777319999e+06  2.3358330000000001e+03  1.8500000000000000e+01 2
2.4569223858130001e+06  2.3145880000000002e+03  1.3090000000000000e+01 2
2.4569224052570001e+06  2.3159679999999998e+03  1.6199999999999999e+01 2
2.4569253742100000e+06  2.3141680000000001e+03  1.9650000000000002e+01 2
2.4569343663050001e+06  2.3383679999999999e+03  1.1780000000000001e+01 2
2.4569343874730002e+06  2.3379620000000000e+03  1.1480000000000000e+01 2
2.4569364686349998e+06  2.3650920000000001e+03  1.0489999999999998e+01 2
2.4569364902079999e+06  2.3485580000000000e+03  1.0310000000000000e+01 2
